"cardName","issuer","annualFee","officialUrl","category1","rate1","cap1","notes1","category2","rate2","cap2","notes2","category3","rate3","cap3","notes3","category4","rate4","cap4","notes4","category5","rate5","cap5","notes5"
"Chase Sapphire Preferred","Chase","$95","","","","","","","","","","","","","","","","","","","","",""
"Chase Sapphire Reserve","Chase","$550","","","","","","","","","","","","","","","","","","","","",""
"Chase Freedom Unlimited","Chase","$0","","","","","","","","","","","","","","","","","","","","",""
"Chase Freedom Flex","Chase","$0","","","","","","","","","","","","","","","","","","","","",""
"Chase Ink Business Preferred","Chase","$95","","","","","","","","","","","","","","","","","","","","",""
"Chase Ink Business Cash","Chase","$0","","","","","","","","","","","","","","","","","","","","",""
"Chase Ink Business Unlimited","Chase","$0","","","","","","","","","","","","","","","","","","","","",""
"United Explorer Card","Chase","$95","","","","","","","","","","","","","","","","","","","","",""
"Southwest Rapid Rewards Plus","Chase","$69","","","","","","","","","","","","","","","","","","","","",""
"World of Hyatt","Chase","$95","","","","","","","","","","","","","","","","","","","","",""
"Marriott Bonvoy Boundless","Chase","$95","","","","","","","","","","","","","","","","","","","","",""
"IHG One Rewards Premier","Chase","$99","","","","","","","","","","","","","","","","","","","","",""
"American Express Gold Card","American Express","$250","","","","","","","","","","","","","","","","","","","","",""
"American Express Platinum","American Express","$695","","","","","","","","","","","","","","","","","","","","",""
"American Express Green","American Express","$150","","","","","","","","","","","","","","","","","","","","",""
"Blue Cash Preferred","American Express","$95","","","","","","","","","","","","","","","","","","","","",""
"Blue Cash Everyday","American Express","$0","","","","","","","","","","","","","","","","","","","","",""
"American Express Business Gold","American Express","$375","","","","","","","","","","","","","","","","","","","","",""
"Capital One Venture X","Capital One","$395","","","","","","","","","","","","","","","","","","","","",""
"Capital One Venture","Capital One","$95","","","","","","","","","","","","","","","","","","","","",""
"Capital One VentureOne","Capital One","$0","","","","","","","","","","","","","","","","","","","","",""
"Capital One SavorOne","Capital One","$0","","","","","","","","","","","","","","","","","","","","",""
"Capital One Savor","Capital One","$95","","","","","","","","","","","","","","","","","","","","",""
"Capital One Quicksilver","Capital One","$0","","","","","","","","","","","","","","","","","","","","",""
"Citi Premier","Citi","$95","","","","","","","","","","","","","","","","","","","","",""
"Citi Prestige","Citi","$495","","","","","","","","","","","","","","","","","","","","",""
"Citi Double Cash","Citi","$0","","","","","","","","","","","","","","","","","","","","",""
"Citi Custom Cash","Citi","$0","","","","","","","","","","","","","","","","","","","","",""
"Citi Rewards+","Citi","$0","","","","","","","","","","","","","","","","","","","","",""
"Bank of America Travel Rewards","Bank of America","$0","","","","","","","","","","","","","","","","","","","","",""
"Bank of America Premium Rewards","Bank of America","$95","","","","","","","","","","","","","","","","","","","","",""
"Bank of America Premium Rewards Elite","Bank of America","$550","","","","","","","","","","","","","","","","","","","","",""
"Bank of America Customized Cash Rewards","Bank of America","$0","","","","","","","","","","","","","","","","","","","","",""
"Bank of America Unlimited Cash Rewards","Bank of America","$0","","","","","","","","","","","","","","","","","","","","",""
"Bank of America Business Advantage Travel Rewards","Bank of America","$0","","","","","","","","","","","","","","","","","","","","",""
"Discover it Cash Back","Discover","$0","","","","","","","","","","","","","","","","","","","","",""
"Discover it Miles","Discover","$0","","","","","","","","","","","","","","","","","","","","",""
"Discover it Student Cash Back","Discover","$0","","","","","","","","","","","","","","","","","","","","",""
"Amex Blue Business Plus","American Express","$0","","","","","","","","","","","","","","","","","","","","",""
"Amex Hilton Honors Aspire","American Express","$550","","","","","","","","","","","","","","","","","","","","",""
"Delta SkyMiles Gold","American Express","$99","","","","","","","","","","","","","","","","","","","","",""
"Delta SkyMiles Platinum","American Express","$350","","","","","","","","","","","","","","","","","","","","",""
"Wells Fargo Active Cash","Wells Fargo","$0","","","","","","","","","","","","","","","","","","","","",""
"Wells Fargo Autograph","Wells Fargo","$0","","","","","","","","","","","","","","","","","","","","",""
"Bilt Mastercard","Wells Fargo","$0","","","","","","","","","","","","","","","","","","","","",""
"US Bank Altitude Reserve","U.S. Bank","$400","","","","","","","","","","","","","","","","","","","","",""
"US Bank Cash+","U.S. Bank","$0","","","","","","","","","","","","","","","","","","","","",""
"Apple Card","Goldman Sachs","$0","","","","","","","","","","","","","","","","","","","","",""
"Citi AAdvantage Platinum Select","Citi","$99","","","","","","","","","","","","","","","","","","","","",""
"AAdvantage Aviator Red","Barclays","$99","","","","","","","","","","","","","","","","","","","","",""
